law_id: 1315, title: THE [***] WILLS AND INTESTACY REGULATION, 1799.
law_id: 1316, title: THE [***] CHARITABLE ENDOWMENTS PUBLIC BUILDINGS AND ESCHEATS REGULATION, 1810.
law_id: 1317, title: THE [***] STATE PRISONERS REGULATION, 1818.
law_id: 1318, title: THE [***] GOVERNMENT INDEMNITY REGULATION, 1822.
law_id: 1319, title: THE [***] ALLUVION AND DILUVION REGULATION, 1825.
law_id: 1320, title: THE [***] REVENUE COMMISSIONERS REGULATION, 1829.
law_id: 1321, title: THE [***] SATI REGULATION, 1829.
law_id: 1322, title: THE [***] LAND-REVENUE (SETTLEMENT AND DEPUTY COLLECTORS) REGULATION, 1833.
law_id: 1, title: The Districts Act, 1836.
law_id: 2, title: The Public Accountant's Default Act, 1850.
law_id: 3, title: The Judicial Officer's Protection Act, 1850.
law_id: 4, title: The Public Servants (Inquiries) Act, 1850.
law_id: 5, title: The Tolls Act, 1851.
law_id: 7, title: The Fatal Accidents Act, 1855.
law_id: 6, title: The Legal Representative Suits Act, 1855.
law_id: 8, title: The Bills of Lading Act, 1856.
law_id: 9, title: The Hindu Widow's Re-marriage Act, 1856.
law_id: 10, title: The Societies Registration Act, 1860.
law_id: 11, title: The Penal Code, 1860.
law_id: 12, title: The Police Act, 1861.
law_id: 13, title: The Stage-Carriages Act, 1861.
law_id: 14, title: The Canals Act, 1864.
law_id: 15, title: The Carriers Act, 1865.
law_id: 17, title: The Acting Judges Act, 1867.
law_id: 18, title: The Sarais Act, 1867.
law_id: 16, title: The Public Gambling Act, 1867.
law_id: 19, title: The Alluvion (Amendment) Act, 1868.
law_id: 20, title: The Divorce Act, 1869.
law_id: 21, title: The Court-fees Act, 1870.
law_id: 22, title: The Cattle-trespass Act, 1871.
law_id: 23, title: The Pensions Act, 1871.
law_id: 24, title: The Evidence Act, 1872.
law_id: 26, title: The Contract Act, 1872.
law_id: 27, title: The Christian Marriage Act, 1872.
law_id: 25, title: The Special Marriage Act, 1872.
law_id: 28, title: The Government Savings Banks Act, 1873.
law_id: 29, title: The Oaths Act, 1873.
law_id: 31, title: The Foreign Recruiting Act, 1874.
law_id: 30, title: The Married Women's Property Act, 1874.
law_id: 33, title: The Majority Act, 1875.
law_id: 32, title: The Survey Act, 1875.
law_id: 34, title: The Law Reports Act, 1875.
law_id: 35, title: The Irrigation Act, 1876.
law_id: 36, title: The Specific Relief Act, 1877.
law_id: 37, title: The Treasure-Trove Act, 1878.
law_id: 38, title: The Arms Act, 1878.
law_id: 39, title: The Court of Wards Act, 1879.
law_id: 40, title: The Touts Act, 1879.
law_id: 41, title: The Religious Societies Act, 1880.
law_id: 42, title: The Vaccination Act, 1880.
law_id: 43, title: The Kazis Act, 1880.
law_id: 44, title: The Municipal Taxation Act, 1881.
law_id: 45, title: The Obstructions in Fairways Act, 1881.
law_id: 1324, title: THE CHITTAGONG HILL-TRACTS FRONTIER POLICE REGULATION, 1881.
law_id: 46, title: The Negotiable Instruments Act, 1881.
law_id: 47, title: The Trusts Act, 1882.
law_id: 49, title: The Easements Act, 1882.
law_id: 48, title: The Transfer of Property Act, 1882.
law_id: 50, title: The Powers-of-Attorney Act, 1882.
law_id: 51, title: The Land Improvement Loans Act, 1883.
law_id: 52, title: The Explosives Act, 1884.
law_id: 53, title: The Agriculturists' Loans Act, 1884.
law_id: 54, title: The Ferries Act, 1885.
law_id: 55, title: The Telegraph Act, 1885.
law_id: 56, title: The Births, Deaths and Marriages Registration Act, 1886.
law_id: 57, title: The Suits Valuation Act, 1887.
law_id: 58, title: The Small Cause Courts Act, 1887.
law_id: 59, title: The Civil Courts Act, 1887.
law_id: 60, title: The Metal Tokens Act, 1889.
law_id: 62, title: The Merchandise Marks Act, 1889.
law_id: 61, title: The Private Fisheries Protection Act, 1889.
law_id: 63, title: The Charitable Endowments Act, 1890.
law_id: 64, title: The Guardians and Wards Act, 1890.
law_id: 65, title: The Railways Act, 1890.
law_id: 66, title: The Excise (Malt Liquors) Act, 1890.
law_id: 67, title: The Bankers' Book Evidence Act, 1891.
law_id: 68, title: The Partition Act, 1893.
law_id: 69, title: The Prisons Act, 1894.
law_id: 70, title: The Government Grants Act, 1895.
law_id: 71, title: The Protection of Muslim Pilgrims Act, 1896.
law_id: 72, title: The Epidemic Diseases Act, 1897.
law_id: 73, title: The General Clauses Act, 1897.
law_id: 74, title: The Lepers Act, 1898.
law_id: 75, title: The Code of Criminal Procedure, 1898.
law_id: 76, title: The Post Office Act, 1898.
law_id: 77, title: The Stamp Act, 1899.
law_id: 78, title: The Government Buildings Act, 1899.
